year_orig;filename;total_trees;acreage;marked_acres;volume;avg_bft;price_bft;total_cost;net;forest;total_sale_price;date_of_sale;fy;month;day;year;time;sale_number;sold_to;bid2;bid2_amount;bid3;bid3_amount;bid4;bid4_amount;bid5;bid5_amount;bid6;bid6_amount;bid7;bid7_amount;bid8;bid8_amount;bid9;bid9_amount;lat;lng
2003;data/2003/2003_Part17.csv;865;158;151;130,191;151;$150.00;$13,235.82;$6,293.18;JACKSON-WASHINGTON STATE FOREST;$19,529.00;2002-02-21;2002;2;21;2002;2002-02-21;6350201;Reynolds Logging|8274 W.Co. Rd. 425 S.|Medora, IN|47260;James Goldsberry|Vallonia, IN|47281;Late(8:40am);;;;;;;;;;;;;;;38.845;-86.0509
2003;data/2003/2003_Part29.csv;565;72;65;127,910;226;$326.01;$3,243.98;$38,456.00;MORGAN-MONROE STATE FOREST;$41,700.00;2002-03-12;2002;3;12;2002;2002-03-12;02-MM-01-02;Cruse Hardwoods|1007 N Blue Bluff Rd.|Martinsville, IN|46151;R. Booe and Sons Hardwood, Inc.|611 W 7th Street|Clay City, IN|47841;$35,733.00;Kinser Timber Products, Inc.|8283 W. Hedrick Road|Gosport, IN.|47433;$32,000.00;Troy Law|206 South Holland St.|Edinburgh, IN|46124;$30,000.00;John M. Wooley Lumber Co. Inc.|200 East South Street Mooresville, IN|46158;$29,001.01;DBA Taggart Hill Sawmill, 5505 Hoover Road, Nashville, IN 47448 Hill Sawmill;$26,000.00;Crone Lumber Co. Inc.|501 N. Park Ave.|Martinsville, IN|46151;$18,300.00;;;;;39.3258;-86.4199
2003;data/2003/2003_Part33.csv;623;107;96;168,672;271;$355.72;$2,716.48;$57,283.52;MORGAN-MONROE STATE FOREST;$60,000.00;2002-03-12;2002;3;12;2002;2002-03-12;03-MM-01-02 302;DBA Taggart Hill Sawmill|5505 Hoover Road|Nashville, IN|47448;John M. Wooley Lumber Co. Inc.|200 East South Street Mooresville, IN|46158;$48,071.52;Kinser Timber Products, Inc.|8283 W. Hedrick Road|Gosport, IN.|47433;$43,555.00;Troy Law|206 South Holland St.|Edinburgh, IN|46124;$40,000.00;R. Booe and Sons Hardwood, Inc.|611 W 7th Street|Clay City, IN|47841;$27,001.00;Crone Lumber Co. Inc.|501 N. Park Ave.|Martinsville, IN|46151;$20,024.00;Cruse Hardwoods|1007 N Blue Bluff Rd.|Martinsville, IN|46151;$18,100.00;;;;;39.3258;-86.4199
2003;data/2003/2003_Part13.csv;849;190;102;188,252;222;$349.93;$4,341.96;$61,533.04;HARRISON-CRAWFORD STATE FOREST;$65,875.00;2002-04-26;2002;4;26;2002;2002-04-26;6450201;Etienne's Timber Harvest, INC.|25993 St. Croix Rd.|St Croix, IN|47576;Sanders Wood Products LLC|3762 N Gethsemane Rd. Nw.|Corydon, Indiana|47112;$43,600.00;John M. Wooley Lumber Co. Inc.|200 East South Street Mooresville, IN|46158;$41,415.00;Benham Bros.Cattle|1925 S. Overhead Bridge Road|Taswell,IN|47175;$37,700.00;Dallas Coffman Logging|2045 Dixie Rd. SW|Corydon, IN|47112;$36,900.00;;;;;;;;;38.2107;-86.292
2003;data/2003/2003_Part9.csv;1,230;174;105;216,490;176;$280.01;$2,472.30;$58,147.70;HARRISON-CRAWFORD STATE FOREST;$60,620.00;2002-04-26;2002;4;26;2002;2002-04-26;6450202;Benham Bros.Cattle|1925 S. Overhead Bridge Road|Taswell,IN|47175;Sanders Wood Products LLC|3762 N Gethsemane Rd. Nw.|Corydon, Indiana|47112;$52,000.00;;;;;;;;;;;;;;;38.2107;-86.292
2003;data/2003/2003_Part1.csv;396;161;87;82,819;209;$303.08;$2,595.10;$22,505.90;CLARK STATE FOREST;$25,101.00;2002-05-23;2002;5;23;2002;2002-05-23;200201;Good Earth Veneer Company|P.O. Box 150|Clear Creek, IN|47426;Worley Lumber Co.|5803 E Hurst Rd.|Pekin, IN|47165-7107;$19,150.00;;;;;;;;;;;;;;;38.5545;-85.7668
2003;data/2003/2003_Part21.csv;479;132;98;98,300;205;$362.27;$3,027.18;$32,583.82;MARTIN STATE FOREST;$35,611.00;2002-06-13;2002;6;13;2002;2002-06-13;101;Good Earth LLC|650 E Empire Mill Rd.|Bloomington, IN|47401;Tall Trees Timber|3 Ailais Craig Road, Bedford, IN|47421;$35,150.00;Etienne's Timber Harvest, INC.|25993 St. Croix Rd.|St Croix, IN|47576;$31,330.00;Tim Moffatt|5331 Windom Rd.|Shoals IN|47581;$30,125.00;Combs Bros. Lumber Company LLC|7743 E State Road 58 | Bloomfield, IN|47424-5687;$21,000.00;;;;;;;;;38.7079;-86.7251
2002;data/2002/2002_Part1.csv;706;169;113;141,113;200;$258.66;$4,155.21;$32,344.79;CLARK STATE FOREST;$36,500.00;2002-07-11;2003;7;11;2002;2002-07-11;200301;Worley Lumber Co.|5803 E Hurst Rd.| Pekin, IN|47165-7107;Good Earth Veneer Company|P.O. Box 150|Clear Creek, IN|47426;$35,311.00;Wakelam Lumber Co.|160 SR 356|Scottsburg, IN|47170;$23,063.32;;;;;;;;;;;;;38.5545;-85.7668
2002;data/2002/2002_Part69.csv;379;84;54;120,542;318;$463.56;$2,709.20;$53,169.80;MORGAN-MONROE STATE FOREST;$55,879.00;2002-07-16;2003;7;16;2002;2002-07-16;1-MM-02-03;Hamilton Logging Inc.|1335 Inverness Farms Rd.|Martinsville, IN|46151;Good Earth Veneer Company|P.O. Box 150|Clear Creek, IN|47426;$36,995.00;Kinser Timber Products, Inc.|8283 W. Hedrick Road|Gosport, IN.|47433;$36,571.00;Foley Hardwoods, Inc.| PO Box 518|Bargersville, IN|46106;$32,500.00;Cruse Hardwoods|1007 N Blue Bluff Rd.|Martinsville, IN|46151;$28,200.00;DBA Taggart Hill Sawmill, 5505 Hoover Road, Nashville, IN 47448 Hill Sawmill;$28,000.00;;;;;;;39.3258;-86.4199
2002;data/2002/2002_Part77.csv;211;247;20;38,900;184;$608.15;$1,995.62;$21,661.38;MORGAN-MONROE STATE FOREST;$23,657.00;2002-07-16;2003;7;16;2002;2002-07-16;02-MM-02-03;Hamilton Logging Inc.|1335 Inverness Farms Rd.|Martinsville, IN|46151;Cruse Hardwoods|1007 N Blue Bluff Rd.|Martinsville, IN|46151;$14,200.00;Kinser Timber Products, Inc.|8283 W. Hedrick Road|Gosport, IN.|47433;$9,000.00;;;;;;;;;;;;;39.3258;-86.4199
2002;data/2002/2002_Part73.csv;233;59;50;51,050;219;$393.73;$1,085.36;$19,014.64;YELLOWWOOD STATE FOREST;$20,100.00;2002-07-19;2003;7;19;2002;2002-07-19;20301;Foley Hardwoods, Inc.| PO Box 518|Bargersville, IN|46106;Cruse Hardwoods|1007 N Blue Bluff Rd.|Martinsville, IN|46151;;Hamilton Logging Inc.|1335 Inverness Farms Rd.|Martinsville, IN|46151;;DBA Taggart Hill Sawmill|5505 Hoover Road|Nashville, IN|47448;;Kinser Timber Products, Inc.|8283 W. Hedrick Road|Gosport, IN.|47433;;;;;;;;;;39.1843;-86.3381
2002;data/2002/2002_Part5.csv;118;161;20;24,374;207;$174.37;$1,038.63;$3,211.37;CLARK STATE FOREST;$4,250.00;2002-08-20;2003;8;20;2002;2002-08-20;6300302;Worley Lumber Co.|5803 E Hurst Rd.|Pekin, IN|47165-7107;;;;;;;;;;;;;;;;;38.5545;-85.7668
2002;data/2002/2002_Part37.csv;958;112;112;188,900;197;$322.92;$11,542.24;$49,457.77;JACKSON-WASHINGTON STATE FOREST;$61,000.00;2002-09-10;2003;9;10;2002;2002-09-10;6350301;Bane Logging|1414 E US HWY 50|Brownstown, IN|47220;Mike Reynolds|8274 W. Co. Rd|425 S., Medora|IN|47260;$48,215.00;Cruse Hardwoods|1007 N Blue Bluff Rd.|Martinsville, IN|46151;$45,250.00;Good Earth Veneer Company|P.O. Box 150|Clear Creek, IN|47426;$40,100.00;Mark Morin Logging|757 Walnut Street|PO Box 127|West Baden, IN|47469;$39,867.00;;;;;;;;;38.845;-86.0509
2002;data/2002/2002_Part41.csv;1,249;178;148;225,700;181;$250.00;$11,823.83;$44,601.17;JACKSON-WASHINGTON STATE FOREST;$56,425.00;2002-09-10;2003;9;10;2002;2002-09-10;6350302;Reynolds Logging|8274 W.Co. Rd. 425 S.|Medora, IN|47260;Mark Morin Logging|757 Walnut Street|PO Box 127|West Baden, IN|47469;$56,182.00;Good Earth Veneer Company|P.O. Box 150|Clear Creek, IN|47426;$52,136.00;Cruse Hardwoods|1007 N Blue Bluff Rd.|Martinsville, IN|46151;$51,900.00;;;;;;;;;;;38.845;-86.0509
2002;data/2002/2002_Part81.csv;557;82;65;119,170;214;$359.99;$4,271.30;$38,628.70;MORGAN-MONROE STATE FOREST;$42,900.00;2002-09-10;2003;9;10;2002;2002-09-10;20033;Cruse Hardwoods|1007 N Blue Bluff Rd.|Martinsville, IN|46151;Hamilton Logging Inc.|1335 Inverness Farms Rd.|Martinsville, IN|46151;$38,767.00;Kinser Timber Products, Inc.|8283 W. Hedrick Road|Gosport, IN.|47433;$37,177.00;DBA Taggart Hill Sawmill|5505 Hoover Road|Nashville, IN|47448;$22,500.00;;;;;;;;;;;39.3258;-86.4199
2002;data/2002/2002_Part85.csv;129;31;20;30,145;234;$268.70;$1,122.30;$6,977.70;YELLOWWOOD STATE FOREST;$8,100.00;2002-09-10;2003;9;10;2002;2002-09-10;20302;Foley Hardwoods, Inc.| PO Box 518|Bargersville, IN|46106;Kinser Timber Products, Inc.|8283 W. Hedrick Road|Gosport, IN.|47433;$7,500.00;Hamilton Logging Inc.|1335 Inverness Farms Rd.|Martinsville, IN|46151;$6,577.00;DBA Taggart Hill Sawmill|5505 Hoover Road|Nashville, IN|47448;$5,000.00;;;;;;;;;;;39.1843;-86.3381
2002;data/2002/2002_Part89.csv;576;122;122;191,026;332;$390.29;$2,969.16;$71,585.84;MORGAN-MONROE STATE FOREST;$74,555.00;2002-09-10;2003;9;10;2002;2002-09-10;20034;Kinser Timber Products, Inc.|8283 W. Hedrick Road|Gosport, IN.|47433;Hamilton Logging Inc.|1335 Inverness Farms Rd.|Martinsville, IN|46151;$701,129.00;Cruse Hardwoods|1007 N Blue Bluff Rd.|Martinsville, IN|46151;$57,900.00;David Morgan Logging|3999 N. SR 37|English, IN|47118;$22,500.00;;;;;;;;;;;39.3258;-86.4199
2002;data/2002/2002_Part65.csv;497;51;51;141,200;284;$177.05;$1,028.27;$23,971.73;SELMIER STATE FOREST;$25,000.00;2002-10-29;2003;10;29;2002;2002-10-29;616-03-01;Bane Logging|1414 E US HWY 50|Brownstown, IN|47220;Hope Hardwoods, Inc.|1006 Seminary St.|Hope, IN|47246;$22,790.00;Napoleon Hardwood, Inc.|P.O. Box 40 Hwy. 229|Napoleon, IN|47034;$16,800.00;;;;;;;;;;;;;39.0366;-85.5992
2002;data/2002/2002_Part93.csv;1,014;217;143;233,797;231;$264.28;$4,331.83;$57,455.17;MORGAN-MONROE STATE FOREST;$61,787.00;2002-12-17;2003;12;17;2002;2002-12-17;200305;Kinser Timber Products, Inc.|8283 W. Hedrick Road|Gosport, IN.|47433;R. Booe and Sons Hardwood, Inc.|611 W 7th Street|Clay City, IN|47841;$58,877.00;Cruse Hardwoods|1007 N Blue Bluff Rd.|Martinsville, IN|46151;$58,449.00;;;;;;;;;;;;;39.3258;-86.4199
2002;data/2002/2002_Part97.csv;434;81;62;97,610;225;$183.08;$2,609.71;$15,260.30;MORGAN-MONROE STATE FOREST;$17,870.00;2003-01-14;2003;1;14;2003;2003-01-14;200303;Foley Hardwoods, Inc.| PO Box 518|Bargersville, IN|46106;;;;;;;;;;;;;;;;;39.3258;-86.4199
2002;data/2002/2002_Part53.csv;307;35;33;58,500;191;$454.36;$3,459.05;$23,120.95;OWEN-PUTNAM STATE FOREST;$26,580.00;2003-02-19;2003;2;19;2003;2003-02-19;1OP02/03-603;Franklin Timber and Veneer|5511 Kerr Creek Rd.|Bloomington, IN|47408;Crites Logging|RR5 Box 652|Spencer, IN|47460;$20,500.00;John M. Wooley Lumber Co. Inc.|200 East South Street Mooresville, IN|46158;$20,001.00;Timberland Resources, Inc.|P. 0. Box 406 Montezuma, IN|47862;$18,500.00;Cruse Hardwoods|1007 N Blue Bluff Rd.|Martinsville, IN|46151;$18,500.00;R. E. Casebeer & Sons|Box 135, W. Market St.|Spencer IN;$18,400.00;R. Booe and Sons Hardwood, Inc.|611 W 7th Street|Clay City, IN|47841;$17,833.00;;;;;39.4753;-86.8698
2002;data/2002/2002_Part57.csv;719;70;65;107,600;150;$278.81;$1,158.16;$28,841.84;OWEN-PUTNAM STATE FOREST;$30,000.00;2003-02-19;2003;2;19;2003;2003-02-19;2OP02/03-809;Crites Logging|RR5 Box 652|Spencer, IN|47460;Cruse Hardwoods|1007 N Blue Bluff Rd.|Martinsville, IN|46151;$27,919.00;John M. Wooley Lumber Co. Inc.|200 East South Street Mooresville, IN|46158;$24,001.00;R. Booe and Sons Hardwood, Inc.|611 W 7th Street|Clay City, IN|47841;$23,333.00;Good Earth Veneer Company|P.O. Box 150|Clear Creek, IN|47426;$18,500.00;Franklin Timber and Veneer|5511 Kerr Creek Rd.|Bloomington, IN|47408;$15,085.00;R. E. Casebeer & Sons|Box 135, W. Market St.|Spencer IN;$14,162.00;;;;;39.4753;-86.8698
2002;data/2002/2002_Part29.csv;1,549;238;151;299,470;193;$350.95;$4,024.69;$101,075.31;HARRISON-CRAWFORD STATE FOREST;$105,100.00;2003-03-14;2003;3;14;2003;2003-03-14;6450301;Benham Bros.Cattle|1925 S. Overhead Bridge Road|Taswell,IN|47175;Good Earth Veneer Company|P.O. Box 150|Clear Creek, IN|47426;$105,100.00;Mark Morin Logging|757 Walnut Street|PO Box 127|West Baden, IN|47469;$51,895.00;Campbell & Son Sawmill|428 W. Lincoln Hills Rd.|English, IN|47118;$36,000.00;;;;;;;;;;;38.2107;-86.292
2002;data/2002/2002_Part33.csv;1,264;170;88;209,460;166;$210.54;$5,356.02;$38,743.98;HARRISON-CRAWFORD STATE FOREST;$44,100.00;2003-03-14;2003;3;14;2003;2003-03-14;6450302;Benham Bros.Cattle|1925 S. Overhead Bridge Road|Taswell,IN|47175;Raymond Beasley|4160 E Mount Sterling Road|English, IN|47118;$37,702.80;Mark Morin Logging|757 Walnut Street|PO Box 127|West Baden, IN|47469;$37,378.00;Campbell & Son Sawmill|428 W. Lincoln Hills Rd.|English, IN|47118;$31,350.00;;;;;;;;;;;38.2107;-86.292
2002;data/2002/2002_Part61.csv;775;155;130;187,300;242;$281.54;$3,801.15;$48,932.85;OWEN-PUTNAM STATE FOREST;$52,733.00;2003-03-19;2003;3;19;2003;2003-03-19;3 0-P02-03 102;R. Booe and Sons Hardwood, Inc.|611 W 7th Street|Clay City, IN|47841;Timberland Resources, Inc.|P. 0. Box 406 Montezuma, IN|47862;$45,814.00;Kirkham Hardwoods|3956 S State Rd 63|Terre Haute, IN|47802;$39,546.00;;;;;;;;;;;;;39.4753;-86.8698
2002;data/2002/2002_Part13.csv;273;112;45;73,000;267;$431.51;$667.95;$30,832.05;FERDINAND-PIKE STATE FOREST;$31,500.00;2003-03-20;2003;3;20;2003;2003-03-20;20031;Rasche Brothers Logging|12242 E. Monte Casino Rd.|Ferdinand, IN|47532;Werner Specialty Hardwoods, Inc.|584 N. Kluemper Rd.|Jasper, IN|47546-9598;$25,100.00;Benham Bros.Cattle|1925 S. Overhead Bridge Road|Taswell,IN|47175;$21,250.00;;;;;;;;;;;;;38.2544;-86.8105
2002;data/2002/2002_Part9.csv;465;128;67;70,811;152;$242.19;$2,140.21;$15,009.79;CLARK STATE FOREST;$17,150.00;2003-04-22;2003;4;22;2003;2003-04-22;200302;Worley Lumber Co.|5803 E Hurst Rd.|Pekin, IN|47165-7107;;;;;;;;;;;;;;;;;38.5545;-85.7668
2002;data/2002/2002_Part17.csv;378;93;35;81,390;215;$377.75;$980.65;$29,764.35;FERDINAND-PIKE STATE FOREST;$30,745.00;2003-04-24;2003;4;24;2003;2003-04-24;6310302;Etienne's Timber Harvest, INC.|25993 St. Croix Rd.|St Croix, IN|47576;Rasche Brothers Logging|12242 E. Monte Casino Rd.|Ferdinand, IN|47532;$26,555.00;;;;;;;;;;;;;;;38.2544;-86.8105
2002;data/2002/2002_Part21.csv;388;120;45;97,809;252;$381.87;$1,491.07;$35,858.83;FERDINAND-PIKE STATE FOREST;$37,349.90;2003-04-24;2003;4;24;2003;2003-04-24;303;Werner Specialty Hardwoods|584 N. Kluemper Rd.|Jasper, IN|47546;Rasche Brothers Logging|12242 E. Monte Casino Rd.|Ferdinand, IN|47532;$34,855.00;;;;;;;;;;;;;;;38.2544;-86.8105
